Bagian Sistem,Fungsi Yang Diuji,Skenario Uji,Indikator Capaian,Hasil Uji (Tercapai / Tidak),Status (Berhasil / Tidak)
"A. Road Damage Detection (Python & API)","Deteksi dan Klasifikasi Kerusakan Jalan","Memasukkan citra/video kondisi jalan rusak ke dalam model deteksi AI berbasis Python.","Sistem mendeteksi lokasi kerusakan (bounding box) dan mengklasifikasikan jenis kerusakannya dengan tepat.","Tercapai","Berhasil"
"A. Road Damage Detection (Python & API)","Pemrosesan Metadata Lokasi (GPS)","Mengekstrak titik koordinat dari frame gambar atau video yang memiliki tag lokasi.","Skrip berhasil membaca titik koordinat (Latitude & Longitude) secara presisi.","Tercapai","Berhasil"
"A. Road Damage Detection (Python & API)","Pengiriman Hasil Deteksi via API (Ke Database)","Skrip Python mengemas hasil deteksi (label, koordinat, path gambar) menjadi payload JSON dan mengirimkannya via HTTP POST Request ke endpoint API server web.","Server merespons dengan status 200/201 OK, dan data laporan dari AI berhasil ter-insert ke dalam database server (MySQL).","Tercapai","Berhasil"
"B. Sialan-Web (Publik & Admin)","Pengisian Form Aduan Masyarakat","Warga (publik) mengisi form aduan di Landing Page, melampirkan foto jalan rusak, koordinat lokasi, dan deskripsi, lalu klik ""Kirim Laporan"".","Sistem memvalidasi input, data berhasil tersimpan di database dengan status 'menunggu', dan muncul notifikasi sukses di layar warga.","Tercapai","Berhasil"
"B. Sialan-Web (Publik & Admin)","Pengiriman Kritik & Saran","Mengisi form ""Hubungi Kami"" di bagian bawah halaman Landing Page.","Data nama, email, dan pesan tersimpan ke dalam tabel pesan untuk ditinjau oleh Admin.","Tercapai","Berhasil"
"B. Sialan-Web (Publik & Admin)","Autentikasi / Login Administrator","Memasukkan email dan password yang valid pada portal login admin.","Sistem mengautentikasi dan mengarahkan admin ke halaman Admin Dashboard.","Tercapai","Berhasil"
"B. Sialan-Web (Publik & Admin)","Penampilan Data Hasil Deteksi AI di Tabel Laporan","Admin membuka menu ""Data Laporan Kerusakan"" untuk melihat data masuk.","Laporan yang dikirim otomatis oleh API Python muncul menyatu di tabel dashboard web, lengkap dengan foto hasil inferensi (bounding box) dan status penanganan.","Tercapai","Berhasil"
"B. Sialan-Web (Publik & Admin)","Manajemen Data Petugas Lapangan (CRUD)","Menambah data petugas baru, mengedit, dan menghapus akun petugas dari daftar.","Data petugas berhasil di-update ke database dan antarmuka tabel menyesuaikan.","Tercapai","Berhasil"
"B. Sialan-Web (Publik & Admin)","Verifikasi & Penugasan Laporan","Admin meninjau laporan (baik dari warga maupun AI), memverifikasi, lalu menugaskannya kepada petugas.","Laporan berhasil difilter, statusnya berubah menjadi 'ditugaskan', dan assignee (petugas) terikat ke laporan tersebut.","Tercapai","Berhasil"
"B. Sialan-Web (Publik & Admin)","Visualisasi Peta Sebaran (GIS)","Membuka halaman Peta Sebaran (Maps) di antarmuka web.","Peta memuat koordinat kerusakan jalan dan memunculkan popup detail (foto & navigasi) secara interaktif.","Tercapai","Berhasil"
"B. Sialan-Web (Publik & Admin)","Notifikasi Real-time Laporan Baru","Masyarakat atau AI mengirim laporan baru, admin melihat ikon lonceng.","Ikon lonceng berkedip merah dan dropdown popup menampilkan laporan yang baru masuk.","Tercapai","Berhasil"
"C. Sialan_app (Mobile App - Petugas)","Autentikasi / Login Petugas","Petugas memasukkan kredensial login pada aplikasi smartphone.","Berhasil mendapatkan token autentikasi dan masuk ke Home Screen aplikasi.","Tercapai","Berhasil"
"C. Sialan_app (Mobile App - Petugas)","Sinkronisasi Penugasan Laporan","Petugas melihat daftar tugas pada Dashboard aplikasinya.","Aplikasi hanya menampilkan daftar laporan kerusakan yang memang ditugaskan kepada petugas (ID) yang sedang login.","Tercapai","Berhasil"
"C. Sialan_app (Mobile App - Petugas)","Navigasi Peta Lokasi Jalan Rusak","Menekan tombol navigasi pada halaman detail penugasan.","Aplikasi memuat Map Viewer / Google Maps yang mengarahkan langsung ke titik koordinat kerusakan.","Tercapai","Berhasil"
"C. Sialan_app (Mobile App - Petugas)","Update Bukti Penanganan (Perbaikan)","Mengubah status menjadi selesai dan mengambil foto bukti jalan yang telah diperbaiki.","Status penanganan berubah, foto hasil perbaikan terunggah, dan data langsung tersinkronisasi kembali ke Sialan-Web (Admin).","Tercapai","Berhasil"
